date,time,from,sender name,sender lat,sender long,rx lat,rx long,rx elevation,rx snr,distance(m),hop limit,payload
02/03/2026,14:45:01,363634937,Meshtastic a0f9,63.4183935,10.4012116,,,,11,,3,<POSITION_APP>
02/03/2026,14:45:19,363634937,Meshtastic a0f9,63.4183935,10.4012116,63.4183867,10.4011871,0,12,1,3,<POSITION_APP>
02/03/2026,14:46:00,363634937,Meshtastic a0f9,63.4183935,10.4012116,63.4183849,10.4011476,0,11.75,3,3,<POSITION_APP>
02/03/2026,14:46:11,664246308,Meshtastic 9824,63.4126336,10.4071168,63.4183865,10.4011903,57,11.5,704,3,<TELEMETRY_APP>
02/03/2026,14:46:40,363634937,Meshtastic a0f9,63.4183935,10.4012116,63.4183879,10.4011842,55,12.5,1,3,<POSITION_APP>
02/03/2026,14:47:20,363634937,Meshtastic a0f9,63.4183935,10.4012116,63.4183938,10.4011844,0,11.5,1,3,<POSITION_APP>
02/03/2026,14:48:00,363634937,Meshtastic a0f9,63.4183935,10.4012116,63.4183927,10.4011832,0,11.75,1,3,<POSITION_APP>
02/03/2026,14:48:40,363634937,Meshtastic a0f9,63.4183935,10.4012116,63.4183927,10.4011832,57,11.25,1,3,<POSITION_APP>
02/03/2026,14:49:20,363634937,Meshtastic a0f9,63.4183935,10.4012116,63.4183927,10.4011832,0,11,1,3,<POSITION_APP>
02/03/2026,14:50:00,363634937,Meshtastic a0f9,63.4183935,10.4012116,63.4183927,10.4011832,0,11.5,1,3,<POSITION_APP>
02/03/2026,14:50:40,363634937,Meshtastic a0f9,63.4183935,10.4012116,63.4183927,10.4011832,57,11.25,1,3,<POSITION_APP>
02/03/2026,14:51:20,363634937,Meshtastic a0f9,63.4183935,10.4012116,63.4183927,10.4011832,0,11.25,1,3,<POSITION_APP>
02/03/2026,14:52:00,363634937,Meshtastic a0f9,63.4183935,10.4012116,63.4183927,10.4011832,0,12,1,3,<POSITION_APP>
02/03/2026,14:52:40,363634937,Meshtastic a0f9,63.4183935,10.4012116,63.4183927,10.4011832,57,11.25,1,3,<POSITION_APP>
02/03/2026,14:53:20,363634937,Meshtastic a0f9,63.4183935,10.4012116,63.4183927,10.4011832,0,11.25,1,3,<POSITION_APP>
02/03/2026,14:54:00,363634937,Meshtastic a0f9,63.4183935,10.4012116,63.4183927,10.4011832,0,11.75,1,3,<POSITION_APP>
