"date","from","sender name","sender lat","sender long","rx lat","rx long","rx elevation","rx snr","distance(m)","hop limit","payload","rssi"
"2026-05-03",,"2232544628","Heltec Fosen""63.394835","10.4875866","63.397246599999995","10.472629999999999","0","-16.2","792","3","1","-124"
"2026-05-03",,"2232544628","Heltec Fosen""63.394835","10.4875866","63.397246599999995","10.472629999999999","0","-10.8","792","3","2","-118"
"2026-05-03",,"2232544628","Heltec Fosen""63.394835","10.4875866","63.397246599999995","10.472629999999999","0","-5.0","792","3","3","-114"
"2026-05-03",,"2232544628","Heltec Fosen""63.394835","10.4875866","63.397246599999995","10.472629999999999","0","-6.8","792","3","4","-113"
"2026-05-03",,"2232544628","Heltec Fosen""63.394835","10.4875866","63.397246599999995","10.472629999999999","0","-8.0","792","3","5","-117"
"2026-05-03",,"2232544628","Heltec Fosen""63.394835","10.4875866","63.397246599999995","10.472629999999999","0","-6.8","792","3","6","-116"
"2026-05-03",,"2232544628","Heltec Fosen""63.394835","10.4875866","63.397246599999995","10.472629999999999","0","-6.2","792","3","7","-115"
"2026-05-03",,"2232544628","Heltec Fosen""63.394835","10.4875866","63.397246599999995","10.472629999999999","0","-8.2","792","3","8","-116"
"2026-05-03",,"2232544628","Heltec Fosen""63.394835","10.4875866","63.397246599999995","10.472629999999999","0","-6.2","792","3","9","-114"
"2026-05-03",,"2232544628","Heltec Fosen""63.394835","10.4875866","63.397246599999995","10.472629999999999","0","-8.2","792","3","0","-116"
