"date","time","from","sender name","sender lat","sender long","rx lat","rx long","rx elevation","rx snr","distance(m)","hop limit","payload","rssi"
"2026-05-03","16:58:23","3126340924","Meshtastic 2d3c","63.4126336","10.5119744","63.3974906","10.4732905","236","-2.5","2558","3","8","-113"
"2026-05-03","16:58:27","3126340924","Meshtastic 2d3c","63.4126336","10.5119744","63.3974906","10.4732905","236","-2.75","2558","3","9","-113"
"2026-05-03","16:58:31","3126340924","Meshtastic 2d3c","63.4126336","10.5119744","63.3974906","10.4732905","236","-3.0","2558","3","1","-111"
"2026-05-03","16:58:35","3126340924","Meshtastic 2d3c","63.4126336","10.5119744","63.3974906","10.4732905","236","-2.25","2558","3","2","-111"
"2026-05-03","16:58:37","3126340924","Meshtastic 2d3c","63.4126336","10.5119744","63.3974906","10.4732905","236","-1.75","2558","3","3","-112"
"2026-05-03","16:58:40","3126340924","Meshtastic 2d3c","63.4126336","10.5119744","63.3974906","10.4732905","236","0.00","2558","3","4","-111"
"2026-05-03","16:58:43","3126340924","Meshtastic 2d3c","63.4126336","10.5119744","63.3974906","10.4732905","236","-1.5","2558","3","5","-111"
"2026-05-03","16:58:46","3126340924","Meshtastic 2d3c","63.4126336","10.5119744","63.3974906","10.4732905","236","-2.5","2558","3","6","-113"
"2026-05-03","16:58:51","3126340924","Meshtastic 2d3c","63.4126336","10.5119744","63.3974906","10.4732905","236","-2.25","2558","3","7","-112"
"2026-05-03","16:58:54","3126340924","Meshtastic 2d3c","63.4126336","10.5119744","63.3974906","10.4732905","236","-0.5","2558","3","8","-111"
