"date","time","from","sender name","sender lat","sender long","rx lat","rx long","rx elevation","rx snr","distance(m)","hop limit","payload","rssi"
"2026-05-03","17:58:03","363634937","Meshtastic a0f9","","","","","","-0.5","","3","1","-109"
"2026-05-03","17:58:05","363634937","Meshtastic a0f9","","","","","","-1.25","","3","2","-110"
"2026-05-03","17:58:07","363634937","Meshtastic a0f9","","","","","","-2.75","","3","8","-112"
"2026-05-03","17:58:11","363634937","Meshtastic a0f9","","","","","","-5.75","","3","3","-116"
"2026-05-03","17:58:22","363634937","Meshtastic a0f9","","","","","","-3.75","","3","5","-113"
"2026-05-03","17:58:24","363634937","Meshtastic a0f9","","","","","","-18.5","","3","6","-116"
"2026-05-03","17:58:27","363634937","Meshtastic a0f9","","","","","","-6.5","","3","7","-117"
"2026-05-03","17:58:30","363634937","Meshtastic a0f9","","","","","","-3.5","","3","8","-113" 
"2026-05-03","17:58:33","363634937","Meshtastic a0f9","","","","","","0.0","","3","9","-109" 
"2026-05-03","17:58:39","363634937","Meshtastic a0f9","","","","","","-3.25","","3","0","-113"
