"date","from","sender name","sender lat","sender long","rx lat","rx long","rx elevation","rx snr","distance(m)","hop limit","payload","rssi"
"2026-05-03","363634937","Meshtastic a0f9","63.3948633","10.4883963","63.3982295","10.476096","253","-6.0","718","1","1","-115"
"2026-05-03","363634937","Meshtastic a0f9","63.3948633","10.4883963","63.3982295","10.476096","253","-10.8","718","1","2","-118"
"2026-05-03","363634937","Meshtastic a0f9","63.3948633","10.4883963","63.3982295","10.476096","253","-8.5","718","1","3","-116"
"2026-05-03","363634937","Meshtastic a0f9","63.3948633","10.4883963","63.3982295","10.476096","253","-9.0","718","1","5","-118"
"2026-05-03","363634937","Meshtastic a0f9","63.3948633","10.4883963","63.3982295","10.476096","253","-8.8","718","1","6","-118"
"2026-05-03","363634937","Meshtastic a0f9","63.3948633","10.4883963","63.3982295","10.476096","253","-9.0","718","1","4","-118"
"2026-05-03","363634937","Meshtastic a0f9","63.3948633","10.4883963","63.3982295","10.476096","253","-11.2","718","1","7","-119"
"2026-05-03","363634937","Meshtastic a0f9","63.3948633","10.4883963","63.3982295","10.476096","253","-8.8","718","1","8","-116"
"2026-05-03","363634937","Meshtastic a0f9","63.3948633","10.4883963","63.3982295","10.476096","253","-10.2","718","1","9","-120"
"2026-05-03","363634937","Meshtastic a0f9","63.3948633","10.4883963","63.3982295","10.476096","253","-6.8","718","1","0","-115"
