"date","time","from","sender name","sender lat","sender long","rx lat","rx long","rx elevation","rx snr","distance(m)","hop limit","payload","rssi"
"2026-05-03","18:02:44","2232544628","Heltec Fosen","63.3948633","10.4883963","","","","-5.5","","1","1","-113"
"2026-05-03","18:02:48","2232544628","Heltec Fosen","63.3948633","10.4883963","","","","-0.75","","1","2","-111"
"2026-05-03","18:02:51","2232544628","Heltec Fosen","63.3948633","10.4883963","","","","-6.75","","1","3","-115"
"2026-05-03","18:02:53","2232544628","Heltec Fosen","63.3948633","10.4883963","","","","-6.0","","1","4","-115"
"2026-05-03","18:02:56","2232544628","Heltec Fosen","63.3948633","10.4883963","","","","-6.0","","1","5","-115"
"2026-05-03","18:02:58","2232544628","Heltec Fosen","63.3948633","10.4883963","","","","-4.75","","1","6","-114"
"2026-05-03","18:03:00","2232544628","Heltec Fosen","63.3948633","10.4883963","","","","-5.25","","1","7","-115"
"2026-05-03","18:03:03","2232544628","Heltec Fosen","63.3948633","10.4883963","","","","-5.25","","1","8","-115"
"2026-05-03","18:03:07","2232544628","Heltec Fosen","63.3948633","10.4883963","","","","-3.5","","1","9","-113"
"2026-05-03","18:03:10","2232544628","Heltec Fosen","63.3948633","10.4883963","","","","-5.75","","1","0","-116"
