"date","from","sender name","sender lat","sender long","rx lat","rx long","rx elevation","rx snr","distance(m)","hop limit","payload","rssi"
"2026-05-03","2232544628","Heltec Fosen","63.3948633","10.4883963","63.3982295","10.476096","253","-7.2","718","1","1","-115"
"2026-05-03","2232544628","Heltec Fosen","63.3948633","10.4883963","63.3982295","10.476096","253","-4.0","718","1","2","-113"
"2026-05-03","2232544628","Heltec Fosen","63.3948633","10.4883963","63.3982295","10.476096","253","-3.2","718","1","3","-112"
"2026-05-03","2232544628","Heltec Fosen","63.3948633","10.4883963","63.3982295","10.476096","253","-5.5","718","1","5","-113"
"2026-05-03","2232544628","Heltec Fosen","63.3948633","10.4883963","63.3982295","10.476096","253","-6.0","718","1","6","-115"
"2026-05-03","2232544628","Heltec Fosen","63.3948633","10.4883963","63.3982295","10.476096","253","-7.2","718","1","4","-111"
"2026-05-03","2232544628","Heltec Fosen","63.3948633","10.4883963","63.3982295","10.476096","253","-5.5","718","1","7","-113"
"2026-05-03","2232544628","Heltec Fosen","63.3948633","10.4883963","63.3982295","10.476096","253","-2.8","718","1","8","-108"
"2026-05-03","2232544628","Heltec Fosen","63.3948633","10.4883963","63.3982295","10.476096","253","-4.0","718","1","9","-111"
"2026-05-03","2232544628","Heltec Fosen","63.3948633","10.4883963","63.3982295","10.476096","253","-2.2","718","1","0","-110"
