"date","time","from","sender name","sender lat","sender long","rx lat","rx long","rx elevation","rx snr","distance(m)","hop limit","payload","rssi"
"2026-05-03","17:41:29","3126340924","Meshtastic 2d3c","63.4126336","10.5119744","63.398241799999994","10.4761315","251","-7.5","2397","3","1","-119"
"2026-05-03","17:41:33","3126340924","Meshtastic 2d3c","63.4126336","10.5119744","63.398241799999994","10.4761315","251","-4.5","2397","3","2","-116"
"2026-05-03","17:41:36","3126340924","Meshtastic 2d3c","63.4126336","10.5119744","63.398241799999994","10.4761315","251","-4.25","2397","3","3","-116"
"2026-05-03","17:41:39","3126340924","Meshtastic 2d3c","63.4126336","10.5119744","63.398241799999994","10.4761315","251","-4.5","2397","3","4","-115"
"2026-05-03","17:41:41","3126340924","Meshtastic 2d3c","63.4126336","10.5119744","63.398241799999994","10.4761315","251","-5.75","2397","3","5","-117"
"2026-05-03","17:41:47","3126340924","Meshtastic 2d3c","63.4126336","10.5119744","63.398241799999994","10.4761315","251","-4.75","2397","3","6","-116"
"2026-05-03","17:41:52","3126340924","Meshtastic 2d3c","63.4126336","10.5119744","63.398241799999994","10.4761315","251","-5.25","2397","3","7","-117"
"2026-05-03","17:41:53","3126340924","Meshtastic 2d3c","63.4126336","10.5119744","63.398241799999994","10.4761315","251","-4.75","2397","3","8","-116"
"2026-05-03","17:41:55","3126340924","Meshtastic 2d3c","63.4126336","10.5119744","63.398241799999994","10.4761315","251","-6.0","2397","3","9","-117"
"2026-05-03","17:41:59","3126340924","Meshtastic 2d3c","63.4126336","10.5119744","63.398241799999994","10.4761315","251","-5.5","2397","3","0","-117"
