"date","from","sender name","sender lat","sender long","rx lat","rx long","rx elevation","rx snr","distance(m)","hop limit","payload","rssi"
"2026-05-03","3126340924","Meshtastic 2d3c","63.3948633","10.4883963","63.3982295","10.476096","253","0.5","718","1","1","-107"
"2026-05-03","3126340924","Meshtastic 2d3c","63.3948633","10.4883963","63.3982295","10.476096","253","2.0","718","1","2","-105"
"2026-05-03","3126340924","Meshtastic 2d3c","63.3948633","10.4883963","63.3982295","10.476096","253","2.2","718","1","3","-104"
"2026-05-03","3126340924","Meshtastic 2d3c","63.3948633","10.4883963","63.3982295","10.476096","253","3.5","718","1","5","-102"
"2026-05-03","3126340924","Meshtastic 2d3c","63.3948633","10.4883963","63.3982295","10.476096","253","0.8","718","1","6","-105"
"2026-05-03","3126340924","Meshtastic 2d3c","63.3948633","10.4883963","63.3982295","10.476096","253","2.5","718","1","4","-105"
"2026-05-03","3126340924","Meshtastic 2d3c","63.3948633","10.4883963","63.3982295","10.476096","253","2.2","718","1","7","-104"
"2026-05-03","3126340924","Meshtastic 2d3c","63.3948633","10.4883963","63.3982295","10.476096","253","1.8","718","1","8","-105"
"2026-05-03","3126340924","Meshtastic 2d3c","63.3948633","10.4883963","63.3982295","10.476096","253","1.2","718","1","9","-104"
"2026-05-03","3126340924","Meshtastic 2d3c","63.3948633","10.4883963","63.3982295","10.476096","253","1.5","718","1","0","-106"
