"date","time","from","sender name","sender lat","sender long","rx lat","rx long","rx elevation","rx snr","distance(m)","hop limit","payload","rssi"
"2026-05-01","16:13:16","3126340924","Meshtastic 2d3c","","","63.420751599999996","10.252385","0","6.75","","3","1","-92"
"2026-05-01","16:13:28","3126340924","Meshtastic 2d3c","","","63.420751599999996","10.252385","0","1.25","","3","2","-91"
"2026-05-01","16:13:48","3126340924","Meshtastic 2d3c","","","63.420751599999996","10.252385","0","6.5","","3","3","-95"
"2026-05-01","16:13:55","3126340924","Meshtastic 2d3c","","","63.420751599999996","10.252385","0","5.25","","3","4","-91"
"2026-05-01","16:14:00","3126340924","Meshtastic 2d3c","","","63.420751599999996","10.252385","0","6.75","","3","5","-91"
"2026-05-01","16:14:10","3126340924","Meshtastic 2d3c","63.4126336","10.5119744","63.420751599999996","10.252385","0","7.75","12949","3","6","-91"
"2026-05-01","16:14:32","3126340924","Meshtastic 2d3c","63.4126336","10.5119744","63.420751599999996","10.252385","0","7.75","12949","3","7","-94"
"2026-05-01","16:14:40","3126340924","Meshtastic 2d3c","63.4126336","10.5119744","63.420751599999996","10.252385","0","7.0","12949","3","8","-90"
"2026-05-01","16:14:46","3126340924","Meshtastic 2d3c","63.4126336","10.5119744","63.420751599999996","10.252385","0","8.25","12949","3","9","-90"
"2026-05-01","16:14:57","3126340924","Meshtastic 2d3c","63.4126336","10.5119744","63.420751599999996","10.252385","0","7.75","12949","3","0","-91"
"2026-05-01","16:15:17","3126340924","Meshtastic 2d3c","63.4126336","10.5119744","63.420751599999996","10.252385","0","6.0","12949","3","1abcdefghi","-93"
"2026-05-01","16:15:35","3126340924","Meshtastic 2d3c","63.4126336","10.5119744","63.420751599999996","10.252385","0","7.75","12949","3","2abcdefghi","-93"
"2026-05-01","16:15:47","3126340924","Meshtastic 2d3c","63.4126336","10.5119744","63.420751599999996","10.252385","0","6.75","12949","3","3abcdefghi","-92"
"2026-05-01","16:15:55","3126340924","Meshtastic 2d3c","63.4126336","10.5119744","63.420751599999996","10.252385","0","6.25","12949","3","4abcdefghi","-92"
"2026-05-01","16:16:09","3126340924","Meshtastic 2d3c","63.4126336","10.5119744","63.420751599999996","10.252385","0","7.0","12949","3","5abcdefghi","-91"
"2026-05-01","16:16:16","3126340924","Meshtastic 2d3c","63.4126336","10.5119744","63.420751599999996","10.252385","0","6.25","12949","3","6abcdefghi","-92"
"2026-05-01","16:16:29","3126340924","Meshtastic 2d3c","63.4126336","10.5119744","63.420751599999996","10.252385","0","7.0","12949","3","7abcdefghi","-91"
"2026-05-01","16:16:40","3126340924","Meshtastic 2d3c","63.4126336","10.5119744","63.420751599999996","10.252385","0","9.0","12949","3","8abcdefghi","-92"
"2026-05-01","16:16:57","3126340924","Meshtastic 2d3c","63.4126336","10.5119744","63.420751599999996","10.252385","0","9.0","12949","3","9abcdefghi","-92"
"2026-05-01","16:17:06","3126340924","Meshtastic 2d3c","63.4126336","10.5119744","63.420751599999996","10.252385","0","7.5","12949","3","0abcdefghi","-91"
