"date","time","from","sender name","sender lat","sender long","rx lat","rx long","rx elevation","rx snr","distance(m)","hop limit","payload"
"2026-05-01","17:13:18","3126340924","Meshtastic 2d3c","63.4126336","10.5119744","63.4207361","10.252459799999999","532","6.25","12945","3","1"
"2026-05-01","17:13:21","3126340924","Meshtastic 2d3c","63.4126336","10.5119744","63.4207361","10.252459799999999","532","3.75","12945","3","2"
"2026-05-01","17:13:24","3126340924","Meshtastic 2d3c","63.4126336","10.5119744","63.4207361","10.252459799999999","532","5.75","12945","3","3"
"2026-05-01","17:13:31","3126340924","Meshtastic 2d3c","63.4126336","10.5119744","63.4207361","10.252459799999999","532","-3.5","12945","2","4"
"2026-05-01","17:13:33","3126340924","Meshtastic 2d3c","63.4126336","10.5119744","63.4207361","10.252459799999999","532","6.0","12945","3","5"
"2026-05-01","17:13:41","3126340924","Meshtastic 2d3c","63.4126336","10.5119744","63.4207361","10.252459799999999","532","5.75","12945","3","4"
"2026-05-01","17:13:45","3126340924","Meshtastic 2d3c","63.4126336","10.5119744","63.4207361","10.252459799999999","532","5.75","12945","3","6"
"2026-05-01","17:13:50","3126340924","Meshtastic 2d3c","63.4126336","10.5119744","63.4207361","10.252459799999999","532","6.25","12945","3","7"
"2026-05-01","17:13:56","3126340924","Meshtastic 2d3c","63.4126336","10.5119744","63.4207361","10.252459799999999","532","4.75","12945","3","8"
"2026-05-01","17:14:03","3126340924","Meshtastic 2d3c","63.4126336","10.5119744","63.4207361","10.252459799999999","532","5.25","12945","3","9"
"2026-05-01","17:14:09","3126340924","Meshtastic 2d3c","63.4126336","10.5119744","63.4207361","10.252459799999999","532","6.75","12945","3","0"
"2026-05-01","17:14:15","3126340924","Meshtastic 2d3c","63.4126336","10.5119744","63.4207361","10.252459799999999","532","5.75","12945","3","1abcdefghi"
"2026-05-01","17:14:22","3126340924","Meshtastic 2d3c","63.4126336","10.5119744","63.4207361","10.252459799999999","532","5.5","12945","3","2abcdefghi"
"2026-05-01","17:14:29","3126340924","Meshtastic 2d3c","63.4126336","10.5119744","63.4207361","10.252459799999999","532","6.0","12945","3","3abcdefghi"
"2026-05-01","17:14:35","3126340924","Meshtastic 2d3c","63.4126336","10.5119744","63.4207361","10.252459799999999","532","6.5","12945","3","4abcdefghi"
"2026-05-01","17:14:41","3126340924","Meshtastic 2d3c","63.4126336","10.5119744","63.4207361","10.252459799999999","532","5.75","12945","3","5abcdefghi"
"2026-05-01","17:14:52","3126340924","Meshtastic 2d3c","63.4126336","10.5119744","63.4207361","10.252459799999999","532","2.75","12945","3","6abcdefghi"
"2026-05-01","17:14:56","3126340924","Meshtastic 2d3c","63.4126336","10.5119744","63.4207361","10.252459799999999","532","5.25","12945","3","7abcdefghi"
"2026-05-01","17:15:04","3126340924","Meshtastic 2d3c","63.4126336","10.5119744","63.4207361","10.252459799999999","532","5.5","12945","3","8abcdefghi"
"2026-05-01","17:15:10","3126340924","Meshtastic 2d3c","63.4126336","10.5119744","63.4207361","10.252459799999999","532","6.0","12945","3","9abcdefghi"
"2026-05-01","17:15:20","3126340924","Meshtastic 2d3c","63.4126336","10.5119744","63.4207361","10.252459799999999","532","-5.25","12945","2","0abcdefghi"
"2026-05-01","17:15:34","3126340924","Meshtastic 2d3c","63.4126336","10.5119744","63.4207361","10.252459799999999","532","5.0","12945","3","0abcdefghi"
