"date","time","from","sender name","sender lat","sender long","rx lat","rx long","rx elevation","rx snr","distance(m)","hop limit","payload","rssi"
"2026-05-12","09:30:53","148667118","Meshtastic_Verpe☆","","","63.4207427","10.2523521","548","4.5","","3","1","-99"
"2026-05-12","09:31:08","148667118","Meshtastic_Verpe☆","","","63.4207737","10.252348399999999","549","-0.25","","3","2","-99"
"2026-05-12","09:31:13","148667118","Meshtastic_Verpe☆","","","63.4207737","10.252348399999999","549","4.5","","3","3","-99"
"2026-05-12","09:31:19","148667118","Meshtastic_Verpe☆","","","63.4207737","10.252348399999999","549","5.25","","3","4","-98"
"2026-05-12","09:31:26","148667118","Meshtastic_Verpe☆","","","63.4207737","10.252348399999999","549","-17.5","","3","5","-102"
"2026-05-12","09:31:31","148667118","Meshtastic_Verpe☆","","","63.4207737","10.252348399999999","549","-11.25","","3","6","-102"
"2026-05-12","09:31:37","148667118","Meshtastic_Verpe☆","","","63.4207737","10.252348399999999","549","1.25","","3","7","-103"
"2026-05-12","09:31:40","148667118","Meshtastic_Verpe☆","","","63.4207737","10.252348399999999","548","-15.0","","3","8","-102"
"2026-05-12","09:31:52","148667118","Meshtastic_Verpe☆","63.3950883","10.488326599999999","63.4207737","10.252348399999999","548","4.5","12088","3","9","-103"
"2026-05-12","09:32:04","148667118","Meshtastic_Verpe☆","63.3950883","10.488326599999999","63.4207737","10.252348399999999","548","4.25","12088","3","10","-101"
