"date","time","from","sender name","sender lat","sender long","rx lat","rx long","rx elevation","rx snr","distance(m)","hop limit","payload","rssi"
"2026-05-12","09:59:29","1912894170","Meshtastic 72da","63.3945723","10.488466899999999","63.4207465","10.252463599999999","549","-5.75","12102","3","1","-106"
"2026-05-12","09:59:46","1912894170","Meshtastic 72da","63.3945723","10.488466899999999","63.4207465","10.252463599999999","549","1.75","12102","3","3","-104"
"2026-05-12","09:59:56","1912894170","Meshtastic 72da","63.3945723","10.488466899999999","63.420717999999994","10.2523619","549","0.5","12106","3","4","-104"
"2026-05-12","10:00:03","1912894170","Meshtastic 72da","63.3945775","10.488467","63.420717999999994","10.2523619","549","2.25","12106","3","5","-103"
"2026-05-12","10:00:13","1912894170","Meshtastic 72da","63.3945775","10.488467","63.420717999999994","10.2523619","549","-3.75","12106","3","6","-105"
"2026-05-12","10:00:21","1912894170","Meshtastic 72da","63.3945775","10.488467","63.4207696","10.2525247","549","-13.75","12100","3","7","-103"
"2026-05-12","10:00:25","1912894170","Meshtastic 72da","63.3945775","10.488467","63.4207696","10.2525247","549","0.25","12100","3","8","-101"
"2026-05-12","10:00:34","1912894170","Meshtastic 72da","63.3945775","10.488467","63.4207696","10.2525247","549","5.25","12100","3","9","-101"
"2026-05-12","10:00:42","1912894170","Meshtastic 72da","63.3945775","10.488467","63.4207696","10.2525247","549","0.25","12100","3","10","-101"
"2026-05-12","10:01:56","1912894170","Meshtastic 72da","63.3945775","10.488467","63.42066","10.252401599999999","549","-1.25","12103","3","11","-106"
