"date","time","from","sender name","sender lat","sender long","rx lat","rx long","rx elevation","rx snr","distance(m)","hop limit","payload","rssi"
"2026-05-12","09:52:57","2666525636","Meshtastic f3c4","63.3945989","10.4884352","63.4207347","10.2523806","545","4.0","12104","3","1","-89"
"2026-05-12","09:53:00","2666525636","Meshtastic f3c4","63.3945989","10.4884352","63.4207347","10.2523806","545","6.0","12104","3","2","-89"
"2026-05-12","09:53:10","2666525636","Meshtastic f3c4","63.3945989","10.4884352","63.4207347","10.2523806","545","5.5","12104","3","3","-90"
"2026-05-12","09:53:16","2666525636","Meshtastic f3c4","63.3945989","10.4884352","63.4207347","10.2523806","545","4.75","12104","3","4","-89"
"2026-05-12","09:53:26","2666525636","Meshtastic f3c4","63.3945989","10.4884352","63.4207347","10.2523806","545","4.5","12104","3","6","-91"
"2026-05-12","09:53:43","2666525636","Meshtastic f3c4","63.3945989","10.4884352","63.4207347","10.2523806","545","5.25","12104","3","7","-91"
"2026-05-12","09:53:50","2666525636","Meshtastic f3c4","63.3945989","10.4884352","63.4207659","10.2522729","548","5.25","12110","3","8","-89"
"2026-05-12","09:53:55","2666525636","Meshtastic f3c4","63.3945989","10.4884352","63.4207659","10.2522729","548","4.0","12110","3","9","-89"
"2026-05-12","09:54:07","2666525636","Meshtastic f3c4","63.3945989","10.4884352","63.4207659","10.2522729","548","6.0","12110","3","10","-89"
"2026-05-12","09:54:16","2666525636","Meshtastic f3c4","63.3945989","10.4884352","63.4207659","10.2522729","548","5.25","12110","3","11","-88"
