"date","time","from","sender name","sender lat","sender long","rx lat","rx long","rx elevation","rx snr","distance(m)","hop limit","payload","rssi"
"2026-05-03","16:54:28","363634937","Meshtastic a0f9","63.3948092","10.488042","","","","-17.5","","3","3","-126"
"2026-05-03","16:54:53","363634937","Meshtastic a0f9","63.3948092","10.488042","","","","-14.5","","3","0","-123"
"2026-05-03","16:54:58","363634937","Meshtastic a0f9","63.3948092","10.488042","","","","-15.25","","3","1","-124"
"2026-05-03","16:55:00","363634937","Meshtastic a0f9","63.3948092","10.488042","","","","-14.75","","3","2","-124"
"2026-05-03","16:55:05","363634937","Meshtastic a0f9","63.3948092","10.488042","","","","-16.75","","3","3","-124"
"2026-05-03","16:55:08","363634937","Meshtastic a0f9","63.3948092","10.488042","","","","-16.5","","3","4","-126"
"2026-05-03","16:55:11","363634937","Meshtastic a0f9","63.3948092","10.488042","","","","-16.5","","3","5","-124"
"2026-05-03","16:55:33","363634937","Meshtastic a0f9","63.3948092","10.488042","63.3974906","10.4732905","236","-18.0","793","3","8","-128"
"2026-05-03","16:55:37","363634937","Meshtastic a0f9","63.3948092","10.488042","63.3974906","10.4732905","236","-19.75","793","2","7","-124"
"2026-05-03","16:56:05","363634937","Meshtastic a0f9","63.3948092","10.488042","63.3974906","10.4732905","236","-13.25","793","3","2","-128"
