"date","time","from","sender name","sender lat","sender long","rx lat","rx long","rx elevation","rx snr","distance(m)","hop limit","payload","rssi"
"2026-05-03","16:41:18","363634937","Meshtastic a0f9","","","","","","-14.5","","2","1","-118"
"2026-05-03","16:41:20","363634937","Meshtastic a0f9","","","","","","-10.25","","3","2","-118"
"2026-05-03","16:41:24","363634937","Meshtastic a0f9","","","","","","-9.0","","3","3","-119"
"2026-05-03","16:41:30","363634937","Meshtastic a0f9","","","","","","-11.25","","3","4","-120"
"2026-05-03","16:41:33","363634937","Meshtastic a0f9","","","","","","-11.0","","3","5","-120"
"2026-05-03","16:41:38","363634937","Meshtastic a0f9","","","","","","-11.5","","3","5","-121"
"2026-05-03","16:41:41","363634937","Meshtastic a0f9","","","","","","-12.0","","3","6","-120"
"2026-05-03","16:41:44","363634937","Meshtastic a0f9","","","","","","-13.5","","3","7","-122"
"2026-05-03","16:41:47","363634937","Meshtastic a0f9","","","","","","-8.0","","3","8","-118"
"2026-05-03","16:41:50","363634937","Meshtastic a0f9","","","","","","-8.75","","3","9","-117"
"2026-05-03","16:41:53","363634937","Meshtastic a0f9","","","","","","-6.75","","3","0","-116"
