"date","time","from","sender name","sender lat","sender long","rx lat","rx long","rx elevation","rx snr","distance(m)","hop limit","payload"
"2026-05-03","17:02:25","2232544628","Heltec Fosen","63.3948633","10.4883963","63.3974906","10.4732905","236","-16.0","807","1","1","-126"
"2026-05-03","17:02:37","2232544628","Heltec Fosen","63.3948633","10.4883963","63.3974906","10.4732905","236","-14.75","807","1","3","-124"
"2026-05-03","17:02:49","2232544628","Heltec Fosen","63.3948633","10.4883963","63.3974906","10.4732905","236","-18.25","807","1","4","-128"
"2026-05-03","17:02:50","2232544628","Heltec Fosen","63.3948633","10.4883963","63.3974906","10.4732905","236","-14.25","807","1","5","-125"
"2026-05-03","17:02:53","2232544628","Heltec Fosen","63.3948633","10.4883963","63.3974906","10.4732905","236","-11.25","807","1","6","-122"
"2026-05-03","17:03:01","2232544628","Heltec Fosen","63.3948633","10.4883963","63.3974906","10.4732905","236","-15.25","807","1","7","-125"
"2026-05-03","17:03:03","2232544628","Heltec Fosen","63.3948633","10.4883963","63.3974906","10.4732905","236","-13.5","807","1","8","-123"
"2026-05-03","17:03:13","2232544628","Heltec Fosen","63.3948633","10.4883963","63.3974906","10.4732905","236","-9.75","807","1","9","-120"
"2026-05-03","17:03:23","2232544628","Heltec Fosen","63.3948633","10.4883963","63.3974906","10.4732905","236","-14.75","807","1","0","-124"
"2026-05-03","17:03:30","2232544628","Heltec Fosen","63.3948633","10.4883963","63.3974906","10.4732905","236","-14.75","807","1","1","-123"
