"date","time","from","sender name","sender lat","sender long","rx lat","rx long","rx elevation","rx snr","distance(m)","hop limit","payload","rssi"
"2026-05-03","16:49:43","2232544628","Heltec Fosen","63.3948633","10.4883963","","","","-12.25","","1","2","-122"
"2026-05-03","16:49:50","2232544628","Heltec Fosen","63.3948633","10.4883963","","","","-15.5","","1","3","-124"
"2026-05-03","16:49:56","2232544628","Heltec Fosen","63.3948633","10.4883963","","","","-14.25","","1","4","-123"
"2026-05-03","16:50:13","2232544628","Heltec Fosen","63.3948633","10.4883963","","","","-15.5","","1","7","-122"
"2026-05-03","16:50:59","2232544628","Heltec Fosen","63.3948633","10.4883963","","","","-10.5","","1","7","-120"
"2026-05-03","16:51:01","2232544628","Heltec Fosen","63.3948633","10.4883963","","","","-16.25","","1","6","-122"
"2026-05-03","16:51:07","2232544628","Heltec Fosen","63.3948633","10.4883963","","","","-13.75","","1","5","-122"
"2026-05-03","16:51:08","2232544628","Heltec Fosen","63.3948633","10.4883963","","","","-14.25","","1","9","-123"
"2026-05-03","16:51:27","2232544628","Heltec Fosen","63.3948633","10.4883963","","","","-13.75","","1","1","-122"
"2026-05-03","16:51:33","2232544628","Heltec Fosen","63.3948633","10.4883963","","","","-10.75","","1","2","-121"
