"date","time","from","sender name","sender lat","sender long","rx lat","rx long","rx elevation","rx snr","distance(m)","hop limit","payload","rssi"
"2026-05-03","16:43:22","3126340924","Meshtastic 2d3c","63.4126336","10.4595456","","","","-4.25","","3","1","-113"
"2026-05-03","16:43:33","3126340924","Meshtastic 2d3c","63.4126336","10.4595456","","","","0.75","","3","2","-108"
"2026-05-03","16:43:35","3126340924","Meshtastic 2d3c","63.4126336","10.4595456","","","","-2.5","","3","3","-111"
"2026-05-03","16:43:39","3126340924","Meshtastic 2d3c","63.4126336","10.4595456","","","","-3.5","","3","4","-109"
"2026-05-03","16:43:40","3126340924","Meshtastic 2d3c","63.4126336","10.4595456","","","","0.75","","3","5","-107"
"2026-05-03","16:43:46","3126340924","Meshtastic 2d3c","63.4126336","10.4595456","","","","-7.25","","3","6","-116"
"2026-05-03","16:43:49","3126340924","Meshtastic 2d3c","63.4126336","10.4595456","","","","-4.25","","3","7","-114"
"2026-05-03","16:43:54","3126340924","Meshtastic 2d3c","63.4126336","10.4595456","","","","-5.25","","3","8","-111"
"2026-05-03","16:44:05","3126340924","Meshtastic 2d3c","63.4126336","10.4595456","","","","-1.75","","3","9","-108"
"2026-05-03","16:44:25","3126340924","Meshtastic 2d3c","63.4126336","10.4595456","","","","-10.0","","3","0","-112"
