"date","time","from","sender name","sender lat","sender long","rx lat","rx long","rx elevation","rx snr","distance(m)","hop limit","payload","rssi"
"2026-05-03","17:39:02","363634937","Meshtastic a0f9","63.3948092","10.488042","63.398245499999994","10.475849799999999","252","-5.75","717","3","1","-117"
"2026-05-03","17:39:05","363634937","Meshtastic a0f9","63.3948092","10.488042","63.398245499999994","10.475849799999999","252","-4.75","717","3","2","-116"
"2026-05-03","17:39:08","363634937","Meshtastic a0f9","63.3948092","10.488042","63.398245499999994","10.475849799999999","252","-7.5","717","3","3","-119"
"2026-05-03","17:39:11","363634937","Meshtastic a0f9","63.3948092","10.488042","63.398245499999994","10.475849799999999","252","-6.5","717","3","4","-118"
"2026-05-03","17:39:19","363634937","Meshtastic a0f9","63.3948092","10.488042","63.398245499999994","10.475849799999999","252","-8.25","717","3","5","-120"
"2026-05-03","17:39:30","363634937","Meshtastic a0f9","63.3948092","10.488042","63.398245499999994","10.475849799999999","252","-3.0","717","3","6","-114"
"2026-05-03","17:39:34","363634937","Meshtastic a0f9","63.3948092","10.488042","63.398245499999994","10.475849799999999","252","-4.0","717","3","7","-115"
"2026-05-03","17:39:36","363634937","Meshtastic a0f9","63.3948092","10.488042","63.398245499999994","10.475849799999999","252","-4.25","717","3","8","-115"
"2026-05-03","17:39:40","363634937","Meshtastic a0f9","63.3948092","10.488042","63.398245499999994","10.475849799999999","252","-5.0","717","3","9","-116"
"2026-05-03","17:39:48","363634937","Meshtastic a0f9","63.3948092","10.488042","63.398245499999994","10.475849799999999","252","-16.25","717","3","0","-128"
