"date","time","from","sender name","sender lat","sender long","rx lat","rx long","rx elevation","rx snr","distance(m)","hop limit","payload","rssi"
"2026-05-03","17:44:25","2232544628","Heltec Fosen","63.3948633","10.4883963","63.398241799999994","10.4761315","251","-16.5","717","1","1","-123"
"2026-05-03","17:44:28","2232544628","Heltec Fosen","63.3948633","10.4883963","63.398241799999994","10.4761315","251","-18.5","717","1","2","-124"
"2026-05-03","17:44:31","2232544628","Heltec Fosen","63.3948633","10.4883963","63.398241799999994","10.4761315","251","-17.5","717","1","3","-124"
"2026-05-03","17:44:34","2232544628","Heltec Fosen","63.3948633","10.4883963","63.398241799999994","10.4761315","251","-16.5","717","1","4","-123"
"2026-05-03","17:44:37","2232544628","Heltec Fosen","63.3948633","10.4883963","63.398241799999994","10.4761315","251","-17.25","717","1","5","-123"
"2026-05-03","17:44:39","2232544628","Heltec Fosen","63.3948633","10.4883963","63.398241799999994","10.4761315","251","-17.25","717","1","6","-123"
"2026-05-03","17:44:42","2232544628","Heltec Fosen","63.3948633","10.4883963","63.398241799999994","10.4761315","251","-13.25","717","1","7","-125"
"2026-05-03","17:44:44","2232544628","Heltec Fosen","63.3948633","10.4883963","63.398241799999994","10.4761315","251","-12.5","717","1","8","-124"
"2026-05-03","17:44:47","2232544628","Heltec Fosen","63.3948633","10.4883963","63.398241799999994","10.4761315","251","-12.5","717","1","9","-124"
"2026-05-03","17:44:49","2232544628","Heltec Fosen","63.3948633","10.4883963","63.398241799999994","10.4761315","251","-12.0","717","1","0","-123"
