"date","time","from","sender name","sender lat","sender long","rx lat","rx long","rx elevation","rx snr","distance(m)","hop limit","payload","rssi"
"2026-05-03","18:10:09","2232544628","Heltec Fosen","63.3948633","10.4883963","63.3982295","10.476096","253","-13.5","718","1","1","-124"
"2026-05-03","18:10:12","2232544628","Heltec Fosen","63.3948633","10.4883963","63.3982295","10.476096","253","-6.25","718","1","2","-117"
"2026-05-03","18:10:14","2232544628","Heltec Fosen","63.3948633","10.4883963","63.3982295","10.476096","253","-7.75","718","1","3","-117"
"2026-05-03","18:10:21","2232544628","Heltec Fosen","63.3948633","10.4883963","63.3982295","10.476096","253","-12.75","718","1","5","-121"
"2026-05-03","18:10:24","2232544628","Heltec Fosen","63.3948633","10.4883963","63.3982295","10.476096","253","-12.25","718","1","6","-122"
"2026-05-03","18:10:26","2232544628","Heltec Fosen","63.3948633","10.4883963","63.3982295","10.476096","253","-11.5","718","1","4","-121"
"2026-05-03","18:10:27","2232544628","Heltec Fosen","63.3948633","10.4883963","63.3982295","10.476096","253","-11.75","718","1","7","-121"
"2026-05-03","18:10:29","2232544628","Heltec Fosen","63.3948633","10.4883963","63.3982295","10.476096","253","-11.5","718","1","8","-121"
"2026-05-03","18:10:33","2232544628","Heltec Fosen","63.3948633","10.4883963","63.3982295","10.476096","253","-11.0","718","1","9","-121"
"2026-05-03","18:10:36","2232544628","Heltec Fosen","63.3948633","10.4883963","63.3982295","10.476096","253","-11.25","718","1","0","-121"
