"date","from","sender name","sender lat","sender long","rx lat","rx long","rx elevation","rx snr","hop limit","payload","rssi"
"2026-05-01","1805985478","Meshtastic 26c6","63.3950293","10.4880818","63.4167117","10.4065694","532","-18.2","3","1","-128"
"2026-05-01","1805985478","Meshtastic 26c6","63.3950293","10.4880818","63.4167117","10.4065694","532","-14.8","3","2","-127"
"2026-05-01","1805985478","Meshtastic 26c6","63.3950293","10.4880818","63.4167117","10.4065694","532","-11.8","3","3","-124"
"2026-05-01","1805985478","Meshtastic 26c6","63.3950293","10.4880818","63.4167117","10.4065694","532","-15.5","3","4","-128"
"2026-05-01","1805985478","Meshtastic 26c6","63.3950293","10.4880818","63.4167117","10.4065694","532","-13.5","3","5","-127"
"2026-05-01","1805985478","Meshtastic 26c6","63.3950293","10.4880818","63.4167117","10.4065694","532","-13.2","3","6","-126"
"2026-05-01","1805985478","Meshtastic 26c6","63.3950293","10.4880818","63.4167117","10.4065694","532","-14.8","3","7","-127"
"2026-05-01","1805985478","Meshtastic 26c6","63.3950293","10.4880818","63.4167117","10.4065694","532","-15.0","3","8","-127"
"2026-05-01","1805985478","Meshtastic 26c6","63.3950293","10.4880818","63.4167117","10.4065694","532","-13.5","3","9","-126"
"2026-05-01","1805985478","Meshtastic 26c6","63.3950293","10.4880818","63.4167117","10.4065694","532","-10.8","3","0","-123"
