"date","time","from","sender name","sender lat","sender long","rx lat","rx long","rx elevation","rx snr","distance(m)","hop limit","payload","rssi"
"2026-05-15","12:18:07","2666525636","Meshtastic f3c4","63.394869","10.4880867","63.4169906","10.4063366","0","7.5","4755","7","03","-85"
"2026-05-15","12:18:08","2666525636","Meshtastic f3c4","63.394869","10.4880867","63.4169906","10.4063366","0","6.5","4755","7","04","-86"
"2026-05-15","12:18:14","2666525636","Meshtastic f3c4","63.3948586","10.488047","63.4169906","10.4063366","0","7.0","4754","7","05","-85"
"2026-05-15","12:18:18","2666525636","Meshtastic f3c4","63.3948586","10.488047","63.4169906","10.4063366","0","7.0","4754","7","06","-87"
"2026-05-15","12:18:24","2666525636","Meshtastic f3c4","63.3948586","10.488047","63.4169906","10.4063366","0","7.5","4754","7","07","-82"
"2026-05-15","12:18:26","2666525636","Meshtastic f3c4","63.3948586","10.488047","63.4169906","10.4063366","0","-12.5","4754","7","08","-71"
"2026-05-15","12:18:29","2666525636","Meshtastic f3c4","63.3948586","10.488047","63.4167151","10.4063015","59","9.0","4740","7","09","-86"
"2026-05-15","12:18:33","2666525636","Meshtastic f3c4","63.3948586","10.488047","63.4167151","10.4063015","59","8.75","4740","7","10","-86"
"2026-05-15","12:18:36","2666525636","Meshtastic f3c4","63.3948586","10.488047","63.4167151","10.4063015","59","9.0","4740","7","11","-83"
"2026-05-15","12:18:40","2666525636","Meshtastic f3c4","63.3948586","10.488047","63.4167151","10.4063015","59","8.5","4740","7","12","-85"
