"date","time","from","sender name","sender lat","sender long","rx lat","rx long","rx elevation","rx snr","distance(m)","hop limit","payload","rssi"
"2026-05-08","14:37:13","1912894170","Meshtastic 72da","63.418745799999996","10.399189","63.415504999999996","10.4108716","0","-14.5","684","3","03","-109"
"2026-05-08","14:37:20","1912894170","Meshtastic 72da","63.418745799999996","10.399189","63.415504999999996","10.4108716","0","-13.25","684","3","05","-109"
"2026-05-08","14:37:23","1912894170","Meshtastic 72da","63.418745799999996","10.399189","63.415504999999996","10.4108716","0","-11.75","684","3","06","-109"
"2026-05-08","14:37:24","1912894170","Meshtastic 72da","63.418745799999996","10.399189","63.415504999999996","10.4108716","0","-13.0","684","3","04","-109"
"2026-05-08","14:37:26","1912894170","Meshtastic 72da","63.418745799999996","10.399189","63.415504999999996","10.4108716","0","-12.75","684","3","07","-109"
"2026-05-08","14:37:30","1912894170","Meshtastic 72da","63.418745799999996","10.399189","63.415504999999996","10.4108716","0","-13.25","684","3","08","-109"
"2026-05-08","14:37:33","1912894170","Meshtastic 72da","63.418745799999996","10.399189","63.415504999999996","10.4108716","0","-14.25","684","3","09","-109"
"2026-05-08","14:37:37","1912894170","Meshtastic 72da","63.418745799999996","10.399189","63.415504999999996","10.4108716","0","-14.25","684","3","10","-109"
"2026-05-08","14:37:47","1912894170","Meshtastic 72da","63.418745799999996","10.399189","63.415504999999996","10.4108716","0","-13.25","684","3","11","-109"
"2026-05-08","14:37:49","1912894170","Meshtastic 72da","63.418745799999996","10.399189","63.415504999999996","10.4108716","0","-12.25","684","3","13","-109"
"2026-05-08","14:37:51","1912894170","Meshtastic 72da","63.418745799999996","10.399189","63.415504999999996","10.4108716","0","-12.5","684","3","12","-109"
