"date","time","from","sender name","sender lat","sender long","rx lat","rx long","rx elevation","rx snr","distance(m)","hop limit","payload","rssi"
"2026-05-08","15:54:28","363634937",72da","","","","","","-13.8","","0","3","-124"
"2026-05-08","15:54:29","363634937","72da","","","","","","-13.0","","0","2","-123"
"2026-05-08","15:54:43","363634937","72da","","","","","","-10","","0","41","-121"
"2026-05-08","15:54:46","363634937","72da","","","","","","-11.8","","0","45","-123"
"2026-05-08","15:54:51","363634937","72da","","","","","","-13.8","","0","40","-124"
"2026-05-08","15:54:53","363634937","72da","","","","","","-12.8","","0","59","-123"
"2026-05-08","15:54:57","363634937","72da","","","","","","-13.2","","0","57","-123"
"2026-05-08","15:54:58","363634937","72da","","","","","","-13.8","","0","74","-124"
"2026-05-08","15:55:00","363634937","72da","","","","","","-14.0","","0","80","-124"
"2026-05-08","15:55:04","363634937","72da","","","","","","-13.2","","0","81","-124"
