"date","time","from","sender name","sender lat","sender long","rx lat","rx long","rx elevation","rx snr","distance(m)","hop limit","payload","rssi"
"2026-05-08","14:32:04","3126340924","Meshtastic 2d3c","63.4126336","10.407116799999999","63.4155016","10.41067","0","-3.0","365","3","02","-107"
"2026-05-08","14:32:13","3126340924","Meshtastic 2d3c","63.4126336","10.407116799999999","63.4155016","10.41067","0","-3.0","365","3","03","-106"
"2026-05-08","14:32:18","3126340924","Meshtastic 2d3c","63.4126336","10.407116799999999","63.4155016","10.41067","0","-3.25","365","3","04","-106"
"2026-05-08","14:32:27","3126340924","Meshtastic 2d3c","63.4126336","10.407116799999999","63.4155016","10.41067","0","-4.25","365","3","05","-107"
"2026-05-08","14:32:34","3126340924","Meshtastic 2d3c","63.4126336","10.407116799999999","63.4155016","10.41067","0","-2.25","365","3","06","-106"
"2026-05-08","14:32:41","3126340924","Meshtastic 2d3c","63.4126336","10.407116799999999","63.4155016","10.41067","0","-2.0","365","3","07","-106"
"2026-05-08","14:32:52","3126340924","Meshtastic 2d3c","63.4126336","10.407116799999999","63.4155016","10.41067","0","-2.0","365","3","08","-107"
"2026-05-08","14:32:59","3126340924","Meshtastic 2d3c","63.4126336","10.407116799999999","63.4155016","10.41067","0","-2.5","365","3","09","-107"
"2026-05-08","14:33:04","3126340924","Meshtastic 2d3c","63.4126336","10.407116799999999","63.4155016","10.41067","0","-1.75","365","3","10","-106"
"2026-05-08","14:33:09","3126340924","Meshtastic 2d3c","63.4126336","10.407116799999999","63.4155016","10.41067","0","-2.5","365","3","11","-107"
