"date","time","from","sender name","sender lat","sender long","rx lat","rx long","rx elevation","rx snr","distance(m)","hop limit","payload","rssi"
"2026-05-08","15:54:28","363634937",f3a4","","","","","","-16.5","","0","3","-126"
"2026-05-08","15:54:29","363634937","f3a4","","","","","","-16.5","","0","2","-126"
"2026-05-08","15:54:43","363634937","f3a4","","","","","","-13.8","","0","41","-123"
"2026-05-08","15:54:46","363634937","f3a4","","","","","","-14.0","","0","45","-124"
"2026-05-08","15:54:51","363634937","f3a4","","","","","","-14.8","","0","40","-121"
"2026-05-08","15:54:53","363634937","f3a4","","","","","","-19.5","","0","59","-128"
"2026-05-08","15:54:57","363634937","f3a4","","","","","","-18.0","","0","57","-127"
"2026-05-08","15:54:58","363634937","f3a4","","","","","","-17.0","","0","74","-126"
"2026-05-08","15:55:00","363634937","f3a4","","","","","","-16.2","","0","80","-126"
"2026-05-08","15:55:04","363634937","f3a4","","","","","","-17.2","","0","81","-126"
