"date","time","from","sender name","sender lat","sender long","rx lat","rx long","rx elevation","rx snr","distance(m)","hop limit","payload","rssi"
"2026-05-08","14:28:45","363634937","Meshtastic a0f9","63.41881","10.3994416","63.4155016","10.41067","0","-20.75","669","3","01","-110"
"2026-05-08","14:29:01","363634937","Meshtastic a0f9","63.41881","10.3994416","63.4155016","10.41067","0","-19.75","669","3","03","-110"
"2026-05-08","14:29:23","363634937","Meshtastic a0f9","63.41881","10.3994416","63.4155016","10.41067","0","-19.75","669","3","06","-110"
"2026-05-08","14:29:28","363634937","Meshtastic a0f9","63.41881","10.3994416","63.4155016","10.41067","0","-17.0","669","3","07","-110"
"2026-05-08","14:29:32","363634937","Meshtastic a0f9","63.41881","10.3994416","63.4155016","10.41067","0","-16.25","669","3","08","-110"
"2026-05-08","14:29:45","363634937","Meshtastic a0f9","63.41881","10.3994416","63.4155016","10.41067","0","-18.0","669","3","10","-110"
"2026-05-08","14:29:59","363634937","Meshtastic a0f9","63.41881","10.3994416","63.4155016","10.41067","0","-16.25","669","3","11","-110"
"2026-05-08","14:30:04","363634937","Meshtastic a0f9","63.41881","10.3994416","63.4155016","10.41067","0","-20.75","669","3","12","-110"
"2026-05-08","14:30:28","363634937","Meshtastic a0f9","63.41881","10.3994416","63.4155016","10.41067","0","-20.75","669","3","15","-110"
"2026-05-08","14:30:32","363634937","Meshtastic a0f9","63.41881","10.3994416","63.4155016","10.41067","0","-19.75","669","3","16","-110"
